title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
The New World,http://www.imdb.com/title/tt0402399/,US/UK,2005,$12.7M,Terrence Malick,Pocahontas,Historical,Known,Native American,1,Female,Q'orianka Kilcher
The Night We Called It a Day,http://www.imdb.com/title/tt0320159/,US,2003,-,Paul Goldman,Frank Sinatra,Singer,Known,White,0,Male,Dennis Hopper
The Notorious Bettie Page,http://www.imdb.com/title/tt0404802/,US,2005,$1.41M,Mary Harron,Bettie Page,Other,Known,Multi racial,0,Female,Gretchen Mol
The Other Side of Heaven,http://www.imdb.com/title/tt0250371/,US,2001,$4.72M,Mitch Davis,John Groberg,Other,Unknown,,0,Male,Christopher Gorham
The Other Side of the Mountain,http://www.imdb.com/title/tt0073496/,US,1975,-,Larry Peerce,Jill Kinmont,Athlete,Unknown,,0,Female,Marilyn Hassett
The People vs. Larry Flynt,http://www.imdb.com/title/tt0117318/,US,1996,$20.2M,Milos Forman,Larry Flynt,Activist,Known,White,0,Male,Woody Harrelson
The Perils of Pauline,http://www.imdb.com/title/tt0039698/,US,1947,-,George Marshall,Pearl White,Actress,Unknown,,0,Female,Betty Hutton
The Pianist,http://www.imdb.com/title/tt0253474/,UK,2002,$32.5M,Roman Polanski,W��adys��aw Szpilman,Musician,Known,White,0,Male,Adrien Brody
The Pistol: The Birth of a Legend,http://www.imdb.com/title/tt0102674/,US,1991,-,Frank C. Schr̦der,Pete Maravich,Athlete,Known,White,0,Male,Adam Guier
The Plainsman,http://www.imdb.com/title/tt0028108/,US,1936,-,Cecil B. DeMille,Wild Bill Hickok,Historical,Known,White,0,Male,"With: Gary Cooper, Jean Arthur, James Ellison"
The Pride of the Yankees,http://www.imdb.com/title/tt0035211/,US,1942,-,Sam Wood,Lou Gehrig,Athlete,Known,White,0,Male,Gary Cooper
The Prisoner of Shark Island,http://www.imdb.com/title/tt0028141/,US,1936,-,John Ford,Samuel Mudd,Medicine,Known,White,0,Male,Warner Baxter
The Private Life of Henry VIII.,http://www.imdb.com/title/tt0024473/,UK,1933,-,Alexander Korda,Henry VIII,Historical,Known,White,0,Male,Charles Laughton
"The Prize Winner of Defiance, Ohio",http://www.imdb.com/title/tt0406158/,US,2005,$626K,Jane Anderson,Evelyn Ryan,Other,Unknown,,0,Female,Julianne Moore
The Pursuit of Happyness,http://www.imdb.com/title/tt0454921/,US,2006,$163M,Gabriele Muccino,Christopher Gardner,Other,Known,African American,1,Male,Will Smith
The Queen,http://www.imdb.com/title/tt0436697/,US/UK,2006,$56.4M,Stephen Frears,Queen Elizabeth II,Historical,Known,White,0,Female,Helen Mirren
The Railway Man,http://www.imdb.com/title/tt2058107/,UK,2013,$4.44M,Jonathan Teplitzky,Eric Lomax ,Military,Unknown,,0,Male,Colin Firth
The Red Baron,http://www.imdb.com/title/tt0365675/,UK,2008,$36.6K,Nikolai M���_llersch���n,Baron Manfred von Richthofen,Military,Known,White,0,Male,Matthias Schweigh̦fer
The Rocket: The Legend of Rocket Richard,http://www.imdb.com/title/tt0460505/,Canada,2005,-,Charles Binam���,"Maurice ""The Rocket"" Richard",Athlete,Known,White,0,Male,Roy Dupuis
The Sessions,http://www.imdb.com/title/tt1866249/,US,2012,$6M,Ben Lewin,Mark O'Brien,Medicine,Unknown,,0,Male,John Hawkes
The Seven Little Foys,http://www.imdb.com/title/tt0048604/,US,1955,-,Melville Shavelson,"Eddie Foy, Sr.",Actor,Known,White,0,Male,Bob Hope
The Singing Nun,http://www.imdb.com/title/tt0060983/,US,1966,-,Henry Koster,Jeanne Deckers ,Musician,Known,White,0,Female,Debbie Reynolds
The Social Network,http://www.imdb.com/title/tt1285016/,US,2010,$96.9M,David Fincher,Mark Zuckerberg,Other,Unknown,,0,Male,Jesse Eisenberg
The Song of Bernadette,http://www.imdb.com/title/tt0036377/,US,1943,-,Henry King,Saint Bernadette Soubirous,Other,Known,White,0,Female,Jennifer Jones
The Sound of Music,http://www.imdb.com/title/tt0059742/,US,1965,$163M,Robert Wise,Maria von Trapp,Singer,Known,White,0,Female,Julie Andrews
The Spirit of St. Louis,http://www.imdb.com/title/tt0051003/,US,1957,-,Billy Wilder,Charles 'Slim' Lindbergh,Other,Known,White,0,Male,James Stewart
The Story of Alexander Graham Bell,http://www.imdb.com/title/tt0031981/,US,1939,-,Irving Cummings,Alexander Graham Bell,Academic,Known,White,0,Male,Don Ameche
The Story of Louis Pasteur,http://www.imdb.com/title/tt0028313/,US,1936,-,William Dieterle,Louis Pasteur,Academic,Known,White,0,Male,Paul Muni
The Straight Story,http://www.imdb.com/title/tt0166896/,US/UK,1999,$6.2M,David Lynch,Alvin Straight,Other,Unknown,,0,Male,Richard Farnsworth
The Stratton Story,http://www.imdb.com/title/tt0041928/,US,1949,-,Sam Wood,Monty Stratton,Athlete,Unknown,,0,Male,James Stewart
The Ten Commandments,http://www.imdb.com/title/tt0049833/,US,1956,$80M,Cecil B. DeMille,Moses,Historical,Known,Middle Eastern (White),0,Male,Charlton Heston
The Theory of Everything,http://www.imdb.com/title/tt2980516/,UK,2014,$35.9M,James Marsh,Steven Hawking,Academic,Known,White,0,Male,Eddie Redmayne
The Toast of New York,http://www.imdb.com/title/tt0029675/,US,1937,-,Rowland V. Lee,James Fisk,Criminal,Known,White,0,Male,Edward Arnold
The Trials of Oscar Wilde,http://www.imdb.com/title/tt0054403/,UK,1960,-,Ken Hughes,Oscar Wilde,Author,Known,White,0,Male,Peter Finch
The True Story of Jesse James,http://www.imdb.com/title/tt0051114/,US,1957,-,Nicholas Ray,Jesse James,Criminal,Known,White,0,Male,Robert Wagner
The Unsinkable Molly Brown,http://www.imdb.com/title/tt0058708/,US,1964,-,Charles Walters,Molly Brown,Other,Known,White,0,Female,Debbie Reynolds
The Visual Bible: The Gospel of John,http://www.imdb.com/title/tt0377992/,Canada/UK,2003,$4.07M,Philip Saville,Jesus,Historical,Known,Middle Eastern (White),0,Male,Henry Ian Cusick
The Whistleblower,http://www.imdb.com/title/tt0896872/,US/Canada,2010,$1.12M,Larysa Kondracki,Kathryn Bolkovac,Other,Known,White,0,Female,Rachel Weisz
