id,name,latitude,longitude,price,room_type,number_of_reviews
38615580,SR4 ESTUDIO Parejas + Niño PORTAZGO Linea 1 METRO,40.39486,-3.65959,58,Entire home/apt,0
34476292,Habitacion 3,40.42273,-3.70433,120,Private room,0
17598320,"HABITACION INDIVIDUAL CON VENTANA, MADRID CENTRO!",40.40875,-3.70196,30,Private room,11
38420538,Apartamento CUATRO CAMINOS Tranquilo y Luminoso,40.44911,-3.70061,52,Entire home/apt,0
32120345,"Bright, central, stylish penthouse, Puerta del Sol",40.41954000000001,-3.70462,1999,Hotel room,4
35262644,Apartamento completo en el centro de madrid,40.42356,-3.70302,350,Entire home/apt,0
20414468,Casa Akhesa,40.40204,-3.7067,40,Private room,15
17074933,"A 20 min.  DEL CENTRO, luminosa y exterior",40.43027,-3.64054,11,Private room,0
7209181,Habitación Amplia Barrio Salamanca cerca I. E.,40.43645,-3.67968,30,Private room,5
20688354,THE CHARMING AFRODITA'S HOME IN PLAZA MAYOR,40.41564,-3.7056,49,Entire home/apt,150
27547622,Modern apt in the centre. Opt. parking.,40.40609,-3.71331,79,Entire home/apt,58
36727647,Habitación cama grande centro Madrid,40.42117,-3.70897,35,Private room,2
18799179,Boulevard Juan Bravo St.,40.43335,-3.67751,80,Entire home/apt,57
11697470,Big Flat 4BD - OPERA area - City Center!!,40.41975,-3.70819,99,Entire home/apt,143
15261457,Madrid Great Location. Wifi,40.42618,-3.69169,49,Entire home/apt,72
23910780,"Living Madrid-Rio Cozy 3 bedrooms, 96 m²-LATINA",40.40687,-3.72259,135,Entire home/apt,58
29926997,Double Room (Ruben Dario) Airport Pick Possible,40.43553,-3.69359,36,Private room,4
32693984,STYLE  & COMFORT - ODONNELL- BARRIO SALAMANCA 6PAX,40.42289,-3.67675,180,Entire home/apt,16
34013184,GRAN VIA CENTRO APARMENTO 42 PUERTA DE SOL,40.42329,-3.70523,61,Entire home/apt,12
23425249,Larra´s Place Madrid,40.42826,-3.69964,100,Entire home/apt,33
21778806,Quiet apartment in Madrid Rio,40.42404000000001,-3.72403,70,Entire home/apt,62
30199397,GOYA DELUXE,40.41882,-3.67702,95,Entire home/apt,10
10914059,Madrid - Studio 2B,40.41967,-3.70162,99,Entire home/apt,3
34596666,"Barrio salamanca, cerca del Wizink center",40.42374,-3.67395,22,Private room,8
1947685,232 - ROOM WITH LIGHT AND WIFI / VERY CENTRIC,40.43463,-3.66983,19,Private room,34
6299647,Family friendly room in Madrid Room for Champions,40.41641,-3.70427,60,Private room,26
22865011,Modern Apartment,40.41441,-3.70391,45,Private room,1
22033666,En el corazón de Madrid! Sorprendente apartamento,40.41076,-3.70904,75,Entire home/apt,125
25417849,"***Fantastic Room in Heart of Madrid, Sol***",40.41688,-3.71009,35,Private room,51
37049843,Apartamento en el corazón de Malasaña,40.42347,-3.70539,50,Entire home/apt,1
18174720,"1 TOCHO’S PLACE 
 “SHANGHAI EXPRESS""",40.42019000000001,-3.70095,50,Private room,157
27853368,"Habitacion 2camas en madrid zona céntrica,",40.39359,-3.71017,28,Private room,36
19822037,MALASAÑA CENTER APARTMENT,40.42926,-3.70693,80,Entire home/apt,52
18761641,Chueca I,40.42335,-3.69898,65,Entire home/apt,27
8051359,Recently Reformed Apartment Centro Rastro VT-3830,40.40849,-3.70504,65,Entire home/apt,30
25616661,"Ático acogedor, luminoso y confortable",40.42636,-3.6666,29,Private room,0
901545,Bright apt by Retiro & Atocha. WiFi,40.40409,-3.67429,120,Entire home/apt,8
34732528,6. Habitación en La Latina,40.41009,-3.71284,20,Private room,0
34983368,Amazing penthouse in the fancy district,40.42999,-3.66513,250,Entire home/apt,0
20355689,Comfortable and Central Room-Wifi+Tv+AA,40.42496,-3.70442,31,Private room,92
16465243,"Place&Price:Great Terrace,Bohemian Attic,La Latina",40.41161,-3.70638,220,Entire home/apt,19
32012492,"Peaceful private bathroom in suite, next to IE",40.43881,-3.67697,52,Private room,32
10914190,Madrid - Studio 3B,40.41833,-3.70065,99,Entire home/apt,0
37891582,Apartamento para 4 personas a 2 minutos del metro,40.3854,-3.65411,40,Entire home/apt,0
23260916,Extraordinario piso familiar cerca del Bernabéu,40.45579,-3.68842,310,Entire home/apt,0
16614603,Habitación con baño privado - Plaza de Castilla,40.46399,-3.69241,25,Private room,8
37008115,Gran habitación en el centro de Madrid,40.42132,-3.70944,50,Private room,1
7168023,"Calle Mayor, studio, bright, central, AC (6A)",40.41658,-3.70782,79,Hotel room,2
25307223,LEEWAYS LOFT in RUDA 0,40.41143,-3.70764,105,Entire home/apt,56
29116796,Moderno apartamento Plaza Mayor - Tranquilo,40.41242,-3.70924,180,Entire home/apt,1
4075286,BEAUTIFUL ROOM /CENTRE MADRID//WIFI,40.40773,-3.70973,40,Private room,38
30173322,Princesa II,40.4315,-3.71767,120,Entire home/apt,0
36592825,Beautiful apt in Madrid & Wifi,40.42303,-3.7054,155,Entire home/apt,0
34218898,Habitacion  soleada y con buenas vistas.cama 1.05,40.40136,-3.65435,18,Private room,48
28335478,Madrid Suites Gran Via 2 suites apartment,40.4213,-3.70156,1000,Entire home/apt,0
127819,140 m2 Architect flat center Madrid,40.41466,-3.70162,200,Entire home/apt,69
35223264,CHAMPIONS LEAGUE FINAL WANDA. Apartamento,40.42683,-3.696,700,Entire home/apt,0
35126624,Amplío y acogedor piso en el Barrio de las Letras,40.41447,-3.70168,165,Entire home/apt,4
33604297,Piso entero a 100 metros del metro y 5km de atocha,40.3857,-3.64225,130,Entire home/apt,8
27158646,"AMPLIO,TRANQUILO Y LUMINOSO PLAZA DE ESPAÑA.WI FI",40.4243,-3.7096,95,Entire home/apt,11
20324976,Loft Aluche,40.37025,-3.77034,75,Entire home/apt,8
18053600,Habitación privada. Bien comunicada y tranquila,40.39932,-3.69916,35,Private room,22
14950864,"4 TOCHO’S PLACE
  “LIQUENES""",40.42155,-3.70059,40,Private room,178
20745141,CEBADA WHITE HOUSE,40.4096,-3.7083,160,Entire home/apt,69
22539171,A cozy and beautiful apartment in the city centre,40.42576,-3.70409,60,Entire home/apt,6
15765954,Clean Tidy Double Bedroom. Homeshare. Citycenter.,40.41179,-3.69851,29,Private room,42
27944118,Meson 1,40.40673,-3.70275,77,Entire home/apt,0
33194090,Super Exclusive and design apartment in Madrid,40.44579,-3.68786,220,Entire home/apt,4
24173397,Wonderful apartment - LA LATINA-,40.41318,-3.70753,55,Entire home/apt,52
28212906,Madrid Suites Sol - Delux apartment,40.41533,-3.7066,300,Entire home/apt,3
1302882,Cozy room in Malasaña center,40.42416,-3.69889,29,Private room,7
15696132,Solfai Vacacional 4,40.41287,-3.71942,60,Entire home/apt,80
31585267,Estúdio super aconchegante e iluminado,40.39295,-3.71252,500,Entire home/apt,1
27548711,Retiro Little Sweet Home,40.40092,-3.67217,70,Entire home/apt,38
37553645,Acogedora habitación,40.42371,-3.70012,25,Private room,1
23721334,Cómodo apartamento a 9 minutos del centro,40.39436,-3.72183,75,Entire home/apt,94
